remark,"CSV-Import-Export"
remark,"Date = Thu Aug 15 09:09:41 2024"
remark,"Version = RSLogix 5000 v36.00"
remark,"Owner = "
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,a,"FTViewDemo Tag","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,a0,"Bias/Constant","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,a1,"Alarm Coefficient","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,a2,"Zone 1 Temp Coefficient","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,a3,"Zone 2 Temp Coefficient","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,a4,"Inlet Moisture Coefficient","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Alarm,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,calctmr,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Carrier_Value,"Carrierr Value","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,cavdetect,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,CLMake,"","Base_CLMake","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,CLMake_BatchCounter,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,CLMake_BatchCounterPRE,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,CLMake_Interlocks,"Control Bits for CLMake","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,CLMake_Interlocks,"CLMake Enabled",,"CLMake_Interlocks.0"
COMMENT,,CLMake_Interlocks,"Mixer CIP Running",,"CLMake_Interlocks.1"
COMMENT,,CLMake_Interlocks,"Mixer Product Change END OF RUN",,"CLMake_Interlocks.2"
COMMENT,,CLMake_Interlocks,"Mixer Run Complete$NStarting next Run",,"CLMake_Interlocks.3"
COMMENT,,CLMake_Interlocks,"CLMake Step 1$NLoad",,"CLMake_Interlocks.4"
COMMENT,,CLMake_Interlocks,"CLMake Step 2 Run",,"CLMake_Interlocks.5"
COMMENT,,CLMake_Interlocks,"CLMake Step 3$NUnload",,"CLMake_Interlocks.6"
COMMENT,,CLMake_Interlocks,"CLMake Step 4",,"CLMake_Interlocks.7"
COMMENT,,CLMake_Interlocks,"CLMake Transfer",,"CLMake_Interlocks.8"
COMMENT,,CLMake_Interlocks,"Mixer Started Line Update Done",,"CLMake_Interlocks.9"
COMMENT,,CLMake_Interlocks,"Oven Scrap Decrement Mixer Logic",,"CLMake_Interlocks.10"
COMMENT,,CLMake_Interlocks,"Document Bit",,"CLMake_Interlocks.20"
COMMENT,,CLMake_Interlocks,"Bypas Debug Bit",,"CLMake_Interlocks.29"
COMMENT,,CLMake_Interlocks,"Debug - Enable next step",,"CLMake_Interlocks.30"
COMMENT,,CLMake_Interlocks,"CLMake Complete",,"CLMake_Interlocks.31"
TAG,,CLMake_LastCRID,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,CLMake_LastMix,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,CLMake_LoadCRID,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cmd_BlockageOperation,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cmd_CavitationOperation,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cmd_NormalOperation,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cmd_StopOperation,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,EI_Tracking,"Energy Intensity Tracking","Base_EI[10]","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,EmptyString,"","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,EnergyIntensityLine,"Energy Intensity$NkWh/Pallet - exit of the Shrink Wrapper","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EntryTankFilling_FB,"Filling Status$NFTView Demo Tag","BOOL","","(State0 := ""Stopped"", State1 := ""Filling"", RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,EntryTankLevel_Set,"Entry Tank (West) Level Setpoint$NFTView Demo Tag","DINT","","(EngineeringUnit := ""Liters"", Max := ""2950"", Min := ""2200"", RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Epoch_Time_Seconds,"Epoch Time In Seconds","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,FLOW,"","AOI_SineWave","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,FLOW_Settings,"","UDT_SineWave","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Cooling_BCT_Active,"Cycle Time Analysis Data Valid","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Cooling_BCT_Actual_CT,"Cycle Time Actual Cycle Time in ms","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Cooling_BCT_Batch_ID,"Cycle Time Analysis Batch ID","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Cooling_BCT_CRID,"Cycle Time Analysis Create ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Cooling_BCT_Recipe_ID,"Cycle Time Analysis Recipe ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Cooling_BCT_TotalActual,"Cycle Time Analysis REAL Actual Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Cooling_BCT_TotalTarget,"Cycle Time Analysis Target Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Deposit_BCT_Active,"Cycle Time Analysis Data Valid","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Deposit_BCT_Actual_CT,"Cycle Time Actual Cycle Time in ms","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Deposit_BCT_Batch_ID,"Cycle Time Analysis Batch ID","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Deposit_BCT_CRID,"Cycle Time Analysis Create ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Deposit_BCT_Recipe_ID,"Cycle Time Analysis Recipe ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Deposit_BCT_TotalActual,"Cycle Time Analysis REAL Actual Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Deposit_BCT_TotalTarget,"Cycle Time Analysis Target Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Loader_BCT_Active,"Cycle Time Analysis Data Valid","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Loader_BCT_Actual_CT,"Cycle Time Actual Cycle Time in ms","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Loader_BCT_Batch_ID,"Cycle Time Analysis Batch ID","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Loader_BCT_CRID,"Cycle Time Analysis Create ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
